調査カード整理番号,カード種別,所蔵者名,整理番号,作品名,編著者名,写刊,写刊年次,巻数・数量,残存,寸法,書型,匡郭・界罫等,表紙,装訂／料紙,保存状況,箱・帙・袋・包紙,蔵書印等,序・跋・刊記・奥書等,絵：記述,書入：記述,補記：記述,書影タイトル,書誌構成,画像1,画像2,画像3,画像4,画像5,画像6,画像7,画像8,画像9,画像10,画像11,画像12,画像13,画像14,画像15,画像16,画像17,画像18,画像19,画像20,画像21,画像22,画像23,画像24,画像25,画像26,画像27,画像28,画像29,画像30,画像31,画像32,画像33,画像34,画像35,画像36,画像37,画像38,画像39,画像40,画像41,画像42,画像43,画像44,画像45,画像46,画像47,画像48,画像49,画像50,画像51,画像52,画像53,画像54,画像55,画像56
"574000-00006","S","尊経閣文庫","341　6","【整理書名】伊勢物語聞書<BR>【外題】伊勢物語（天地人）","","写本","天文１２年","3巻3冊","全","縦24.6p×横14.8p","","","濃藍色　緞子表紙","巻子／鳥の子","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000601.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000602.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00007","S","尊経閣文庫","P341　7","【整理書名】伊勢物語惟清抄<BR>【外題】伊勢物語惟清抄宣賢抄","","写本","江戸後期","1巻1冊","全","縦28p×横19.3p","","","原／柿色　麻の葉に唐草","袋綴／楮","","","学（朱印）","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000700.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00008","S","尊経閣文庫","341　7  梅戊66","【認定書名】伊勢物語惟清抄<BR>【整理書名】伊勢物語惟清抄<BR>【外題】伊勢物語惟清抄宣賢抄<BR>【内題】伊勢物語","","写本","江戸中期","1冊","全","縦27.8p×横19.8p","","","原／地紋　富士の花　円模様","袋綴／楮","","","学","【序】宣賢自序","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000800.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00009","S","尊経閣文庫","P342　7","【整理書名】多武峯能少将<BR>【外題】たむの峯の少将","","写本","江戸後期","1巻1冊","全","縦30.4p×横22.2p","","","原／樺色　草花唐草","袋綴／楮","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0000900.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00010","S","尊経閣文庫","342　8","【整理書名】多武峯物語<BR>【外題】多武峯物語高光口","","写本","江戸後期","1巻1冊","全","縦27.2p×横20.4p","","","原／灰緑色無地","袋綴／楮","","","桑名楽亭文庫<BR>松平定信旧蔵","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001000.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00011","S","尊経閣文庫","P342　12","【整理書名】空穂物語考<BR>【外題】空穂物語考清水先生遺稿","","写本","江戸後期","1巻1冊","全","縦23.7p×横16.6p","","","原／淡水色　無地","袋綴／楮","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001101.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001102.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00012","S","尊経閣文庫","342　13","【整理書名】空穂物語<BR>【外題】空穂物語目録","","写本","文政９年","1巻1冊","全","縦26p×横18.5p","","","原／丁字色無地表紙","袋綴／楮","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001200.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00013","S","尊経閣文庫","342　14","【整理書名】おちくぼ<BR>【外題】おちくぼ","","写本","江戸中期","4巻4冊","全","縦26.1p×横19.5p","","","打曇りに金砂子表紙","袋綴／楮","","","","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001301.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001302.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00014","S","尊経閣文庫","(350　7)","【整理書名】日本霊異記<BR>【外題】日本国現報〔善〕悪霊異記<BR>【内題】日本国現報善悪霊異記","","写本","寛政１０年〜文化元年","3巻1冊","全","縦26.7p×横19.2p","","","原／朱色　卍字繋　牡丹唐草　空押し","袋綴／楮","","","掖斎","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001401.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001402.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001403.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00015","S","尊経閣文庫","(350　10)","【整理書名】三宝絵<BR>【外題】三宝絵<BR>【内題】三宝絵","","写本","正徳５年","3巻3冊","全","縦33.2p×横23.8p","","","原／丹表紙","袋綴／楮","","","前田氏尊経閣図書記","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001501.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001502.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00016","S","尊経閣文庫","351　1(3)","【整理書名】古事談<BR>【外題】古事談（天地人）<BR>【内題】古事談王道后宮（〜亭宅諸道）","","写本","承応３年","6巻3冊","欠／詳細？","縦25.9p×横18.9p","","","縹色布目表紙→補記","袋綴／楮","","","前田氏尊経閣図書記","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001601.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001602.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00017","S","尊経閣文庫","351　2(6)","【整理書名】古事談<BR>【外題】古事談<BR>【内題】古事談王道后宮（〜亭宅諸道）","","写本","江戸末期","6巻6冊","全","縦27.3p×横19.5p","","","原／薄若芽色地に唐草と丸竜の雲母刷り","袋綴／楮","","","石川県勧業博物館図書室印<BR>学（丸印）","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001701.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001702.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00018","S","尊経閣文庫","351　3","【整理書名】續古事談<BR>【外題】續古事談<BR>【内題】續古事談王道后宮（〜漢朝）","","写本","江戸後期","6巻3冊","欠／巻三","縦27.3p×横19.5p","","","原／薄若芽色地に唐草と丸竜の雲母刷り","袋綴／楮","","","石川県勧業博物館図書室印<BR>学（丸印）","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001801.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001802.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00019","S","尊経閣文庫","351　5","【整理書名】閑居友<BR>【外題】閑居<BR>【内題】閑居上（上巻）閑居友下（下巻）","","写本","寛永２０年","2巻2冊","全","縦26.4p×横20.2p","","","原／濃紺色無地","袋綴／楮","","","前田氏尊経閣図書記","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001901.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0001902.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574000-00020","S","尊経閣文庫","351　7(3)","【整理書名】十訓抄<BR>【外題】十訓鈔<BR>【内題】十訓鈔<BR>十訓抄序［序題］","","写本","江戸後期","10巻3冊","欠／巻七","縦27.3p×横19.4p","","","原／薄若芽色地に唐草と丸竜の雲母刷り","袋綴／楮","","","学（丸印）","","","","","","","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0002001.jpg","http://image.nijl.ac.jp/~chosa/card_jpeg/574000/574000-0002002.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
